timestamp,open,high,low,close,volume
1672538460,16543.06000000,16547.27000000,16541.00000000,16546.43000000,113.58873000
1672538520,16546.93000000,16547.32000000,16542.97000000,16544.48000000,31.29288000
1672538580,16544.48000000,16545.00000000,16540.79000000,16540.92000000,35.24830000
1672538640,16541.25000000,16542.18000000,16540.03000000,16541.43000000,28.38028000
1672538700,16541.86000000,16542.52000000,16540.02000000,16541.54000000,22.48394000
1672538760,16541.30000000,16542.89000000,16540.51000000,16542.27000000,35.30114000
1672538820,16542.27000000,16542.36000000,16540.56000000,16541.66000000,32.83480000
1672538880,16541.92000000,16543.77000000,16541.15000000,16543.17000000,28.67506000
1672538940,16543.16000000,16543.61000000,16542.21000000,16542.94000000,25.36316000
1672539000,16542.67000000,16543.35000000,16540.65000000,16540.96000000,40.25811000
1672539060,16540.96000000,16542.46000000,16540.00000000,16542.04000000,39.96885000
1672539120,16542.40000000,16542.66000000,16540.67000000,16541.73000000,42.21405000
1672539180,16541.73000000,16542.39000000,16539.57000000,16541.52000000,53.64718000
1672539240,16541.14000000,16551.59000000,16541.14000000,16549.03000000,218.31312000
1672539300,16549.02000000,16552.91000000,16547.80000000,16552.77000000,82.55166000
1672539360,16552.26000000,16554.56000000,16551.52000000,16552.56000000,40.04515000
1672539420,16552.91000000,16553.62000000,16550.81000000,16551.93000000,74.85809000
1672539480,16551.48000000,16551.93000000,16550.23000000,16551.42000000,29.82223000
1672539540,16551.42000000,16552.72000000,16550.03000000,16552.72000000,39.06748000
1672539600,16552.72000000,16553.02000000,16551.50000000,16551.97000000,37.42397000
1672539660,16551.97000000,16553.75000000,16546.82000000,16548.60000000,85.79094000
1672539720,16548.60000000,16550.12000000,16547.43000000,16548.69000000,62.79458000
1672539780,16548.30000000,16549.40000000,16547.31000000,16548.25000000,55.18568000
1672539840,16548.78000000,16549.66000000,16546.48000000,16548.18000000,83.50065000
1672539900,16547.96000000,16548.99000000,16546.82000000,16548.01000000,26.55723000
1672539960,16548.01000000,16553.52000000,16547.57000000,16553.12000000,63.05761000
1672540020,16553.51000000,16553.51000000,16549.46000000,16550.01000000,36.67689000
1672540080,16549.72000000,16552.60000000,16548.88000000,16551.46000000,30.67832000
1672540140,16551.92000000,16555.00000000,16549.97000000,16552.89000000,56.40756000
1672540200,16552.89000000,16554.64000000,16551.35000000,16552.68000000,42.61981000
1672540260,16552.68000000,16556.00000000,16552.04000000,16555.34000000,53.20855000
1672540320,16555.30000000,16557.89000000,16554.27000000,16557.47000000,68.89517000
1672540380,16557.47000000,16559.12000000,16556.00000000,16557.72000000,66.80280000
1672540440,16557.52000000,16559.61000000,16556.00000000,16558.65000000,77.22791000
1672540500,16558.49000000,16559.77000000,16554.25000000,16555.34000000,72.47217000
1672540560,16555.72000000,16556.73000000,16552.25000000,16553.57000000,44.86598000
1672540620,16553.57000000,16554.50000000,16551.19000000,16552.42000000,32.19788000
